name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price
Mayfair Park Lane Lux 2-bedroom apartment,Westminster,51.50737778001666,-0.1540139203025977,Entire home/apt,7,2,2024-04-20,0.32,48,105,2,600.0
3 Bedroom flat in a quiet Kensington mews,Kensington and Chelsea,51.49591,-0.18101,Entire home/apt,2,28,2024-08-19,1.24,3,346,9,621.0
Jewel in the Town,Islington,51.53621,-0.10616,Entire home/apt,3,0,,,404,45,0,576.0
The Impressionist's Fireplace–4 BR Home in Chelsea,Kensington and Chelsea,51.49372,-0.16424,Entire home/apt,4,3,2023-07-15,0.15,72,363,0,2250.0
Moonbeam Cottage: Cosy London Cottage,Bromley,51.43747,0.04237,Entire home/apt,2,19,2024-04-26,0.86,1,269,10,481.0
Stylish 5 Bed House in St. John's Wood/Maida Vale,Westminster,51.5315132,-0.1803874,Entire home/apt,5,2,2023-09-01,0.13,52,364,0,1139.0
Stunning 2 bedroom apartment with garden,Kensington and Chelsea,51.49279689999999,-0.1824517,Entire home/apt,3,31,2024-08-15,1.38,1,293,6,471.0
Luxury 2 bed house in London's best neighbourhood,Tower Hamlets,51.52999,-0.0692,Entire home/apt,3,53,2024-08-20,2.34,1,150,25,457.0
Westcott Lodge,Hammersmith and Fulham,51.49028129929903,-0.2326673699314185,Entire home/apt,7,0,,,1,282,0,4286.0
"Best View of Harrods, Luxury 2 bed, terrace, AC",Kensington and Chelsea,51.4994306,-0.1613491,Entire home/apt,2,10,2024-04-29,0.68,9,192,7,679.0
Stunning Hyde Park Panorama Luxury 4-Bedroom Oasis,Westminster,51.51108167772987,-0.183516584844516,Entire home/apt,5,32,2024-09-02,1.48,3,148,15,825.0
Family home in the heart of Kew,Richmond upon Thames,51.48044,-0.28238,Entire home/apt,1,1,2023-12-30,0.12,1,8,1,495.0
4BD Luxury Family Home in Leafy Neighbourhood,Wandsworth,51.45650056927213,-0.1568313873133164,Entire home/apt,4,8,2024-08-12,0.47,1,15,4,465.0
Magnificent 3bedrooms in Dorset Square,Westminster,51.5231723,-0.1614766,Entire home/apt,35,6,2024-04-06,0.29,16,65,1,518.0
Villa private SPA Jacuzzi SAUNA Excel CanaryWharf,Tower Hamlets,51.4927,-0.02621,Entire home/apt,3,8,2023-09-05,0.37,2,89,0,450.0
Long stay discounts - Marble Arch 3bed family home,Westminster,51.513599,-0.163861,Entire home/apt,5,6,2023-11-27,0.32,52,174,2,466.0
Stunning 5 bed family home in South West London,Lambeth,51.44521258608301,-0.1329615176796617,Entire home/apt,5,10,2024-08-10,0.53,1,259,6,550.0
Gorgeous 4 bedroom Victorian terrace house,Lambeth,51.45865269999999,-0.1257912,Entire home/apt,2,17,2024-08-18,0.77,2,232,8,433.0
Barnes House - Large Family House by the Thames,Richmond upon Thames,51.46973,-0.25293,Entire home/apt,7,1,2024-01-10,0.12,14,68,1,695.0
Large 4 Bedroom Flat w Amazing Roof Terrace!,Westminster,51.48862,-0.13315,Entire home/apt,3,41,2024-08-18,1.85,2,244,12,1129.0
The Notting Hill Townhouse,Westminster,51.514671873978415,-0.1939472874108416,Entire home/apt,3,14,2024-08-25,0.77,31,313,9,727.0
4 Bedroom Terraced Townhouse Hammersmith London,Hammersmith and Fulham,51.48534101600591,-0.2168627718008751,Entire home/apt,4,1,2023-07-10,0.07,11,0,0,436.0
4 bedroom Victorian house,Wandsworth,51.454079618284666,-0.1602410207669445,Entire home/apt,6,0,,,1,92,0,600.0
Delightful apartment located near Hampstead Heath,Camden,51.55264,-0.17286,Entire home/apt,3,1,2022-11-23,0.05,127,114,0,1064.0
Blackout Film & Photo Studio,Croydon,51.35487,-0.09224,Entire home/apt,1,0,,,1,365,0,900.0
Albert Bridge Mansions,Wandsworth,51.47889,-0.16636,Entire home/apt,1,0,,,404,160,0,709.0
Split Level 3 Bed Garden Apartment- Central London,Westminster,51.5157005,-0.1593793,Entire home/apt,2,86,2024-08-02,3.93,27,272,40,561.0
Island Cottage,Richmond upon Thames,51.44595793231267,-0.3268309316235738,Entire home/apt,5,0,,,404,62,0,458.0
Luxury central london 2 bedroom apartment,Wandsworth,51.48124,-0.13727,Entire home/apt,1,1,2022-12-04,0.05,4,365,0,600.0
Luxury designer Fitzrovia apartment with roof deck,Westminster,51.52010530880536,-0.1415340036353972,Entire home/apt,3,2,2024-06-26,0.14,1,30,1,529.0
Stunning House in central location,Lambeth,51.47804,-0.12253,Entire home/apt,1,22,2024-08-28,1.01,8,141,10,600.0
Beautiful four bedroom Georgian Bloomsbury house,Camden,51.5251116,-0.1175063,Entire home/apt,7,8,2024-04-07,0.39,1,61,3,700.0
Architect's home in the heart of Notting Hill,Kensington and Chelsea,51.51394406818728,-0.204015630688481,Entire home/apt,7,1,2022-12-03,0.05,1,355,0,750.0
4 bedroom House and garden near Kensinghton Palace,Kensington and Chelsea,51.50601,-0.19221,Entire home/apt,6,1,2023-10-08,0.09,1,363,1,1243.0
Wonderful 5 bed family home near Wandsworth Common,Wandsworth,51.44100155829262,-0.1594653405704411,Entire home/apt,5,9,2024-08-27,0.41,1,324,4,485.0
3 bed Covent Garden apartment with terrace,Camden,51.515,-0.12234,Entire home/apt,60,2,2023-01-15,0.1,25,297,0,450.0
Luxury 3-BDR  flat near Selfridges Mayfair,Westminster,51.51254,-0.15399,Entire home/apt,5,3,2024-08-18,0.15,16,130,2,838.0
Chelsea Artist's Studio by Veeve,Kensington and Chelsea,51.481,-0.184,Entire home/apt,3,0,,,404,202,0,656.0
A stunning 2 bed ground floor garden flat,Wandsworth,51.46329823436519,-0.166175826983641,Entire home/apt,3,0,,,1,365,0,489.0
Magnificent Mayfair 2bed overlooking Green Park,Westminster,51.50642851202598,-0.1424561481286866,Entire home/apt,5,25,2024-08-22,2.83,1,78,25,482.0
Fabulous Knightsbridge Penthouse,Kensington and Chelsea,51.4959442,-0.1639527,Entire home/apt,7,1,2023-06-30,0.07,19,130,0,1100.0
A Room with a Hue by Veeve,Lambeth,51.48,-0.117,Entire home/apt,3,1,2023-07-14,0.07,404,202,0,515.0
Luxurious 2 Bed Apartment in Shoreditch!,Hackney,51.53642,-0.07767,Entire home/apt,1,2,2023-01-02,0.1,1,365,0,999.0
House of Bobbin - Hyde Park Mansion,Westminster,51.51354,-0.17512,Entire home/apt,3,5,2023-07-23,0.25,14,365,0,2100.0
Vernon Street by onefinestay,Hammersmith and Fulham,51.49304,-0.21,Entire home/apt,5,2,2023-05-09,0.12,210,47,0,1392.0
Gladstone Street by onefinestay,Southwark,51.49805,-0.10361,Entire home/apt,1,0,,,210,27,0,1148.0
Baxendale Street by onefinestay,Tower Hamlets,51.53062,-0.06672,Entire home/apt,5,1,2024-08-02,0.81,210,60,1,695.0
Upper Addison Gardens II by onefinestay,Kensington and Chelsea,51.50434,-0.21572,Entire home/apt,5,0,,,210,22,0,1166.0
Very spacious home,Brent,51.54852443428554,-0.2094626810524937,Entire home/apt,1,0,,,1,365,0,414.0
Selfridge & Portman square Lux 3 bedroom,Westminster,51.51603,-0.15545,Entire home/apt,5,2,2024-08-03,0.09,43,180,1,600.0
Mayfair Snug,Westminster,51.5071373,-0.1445797,Entire home/apt,6,45,2024-08-21,2.04,14,145,14,415.0
Hampstead Heath Apartment,Camden,51.5595741,-0.1714671,Entire home/apt,2,2,2023-12-30,0.1,1,255,1,450.0
Lovely Apartment In Shirland Mews,Westminster,51.52842,-0.1984,Entire home/apt,1,0,,,1,2,0,500.0
Maddox Street - 2 bed,Westminster,51.51284,-0.14087,Entire home/apt,10,11,2024-01-26,0.55,21,291,6,444.0
Maddox Street - 3 bed,Westminster,51.5146,-0.14229,Entire home/apt,3,9,2024-08-12,0.47,21,176,5,730.0
Selfridge & Portman square Lux 3 bedroom,Westminster,51.51814,-0.15358,Entire home/apt,7,0,,,43,180,0,529.0
Garden Flat,Richmond upon Thames,51.46896306129519,-0.2687804773449898,Private room,30,0,,,1,364,0,500.0
Superb 4-bed home w/ garden in Clapham,Lambeth,51.46214,-0.12716,Entire home/apt,3,6,2023-10-14,0.29,70,0,1,529.0
"Premium 3 bedroom, 3 Bathroom",Camden,51.5420404452387,-0.1421635354431183,Entire home/apt,14,1,2024-03-12,0.17,16,89,1,466.0
Georgian House in central London,Islington,51.52182,-0.10317,Entire home/apt,2,35,2024-07-28,1.66,5,284,17,650.0
"London, Regent's Park | Luxury 4-Bedroom Apartment",Westminster,51.53042,-0.16647,Entire home/apt,5,0,,,46,78,0,567.0
"Bayswater, London | Deluxe Three-Bedroom Penthouse",Westminster,51.51491,-0.187,Entire home/apt,5,3,2024-08-19,0.64,46,71,3,449.0
"Queensway, London | Luxury Five-Bedroom Apartment",Westminster,51.51214,-0.18847,Entire home/apt,7,2,2023-10-14,0.17,46,67,2,481.0
Homey Parkside Flat in Primrose Hill,Camden,51.53783,-0.15325,Entire home/apt,4,19,2024-08-30,0.93,1,24,12,627.0
Lovely 3 bedroom house in London Cumming Street,Islington,51.5305,-0.1151,Entire home/apt,5,0,,,1,364,0,519.0
a lui 1,Westminster,51.500871027731016,-0.1648400810855825,Entire home/apt,1,0,,,1,365,0,2140.0
Central London Mayfair Apt. Spacious with balcony.,Westminster,51.51228,-0.15006,Entire home/apt,7,14,2024-01-02,0.65,2,97,3,1200.0
The Fulham House by HoK Living,Hammersmith and Fulham,51.4816,-0.20626,Entire home/apt,1,50,2024-08-19,2.3,14,283,28,620.0
Luxury home near Richmond Park,Kingston upon Thames,51.41169,-0.28374,Entire home/apt,7,0,,,1,195,0,500.0
"Best location, next to Harrods 2 bed Lux apart",Kensington and Chelsea,51.4994306,-0.1613491,Entire home/apt,2,14,2024-03-19,0.68,7,233,3,498.0
Luxury Mayfair apartment Best location/reviews,Westminster,51.51287392189613,-0.1485874926058397,Entire home/apt,3,40,2024-08-30,2.14,2,226,26,547.0
Beautiful home by Ruskin Park,Lambeth,51.46718,-0.10267,Entire home/apt,3,5,2024-06-03,0.24,3,364,3,430.0
Kensington Duplex Flat,Kensington and Chelsea,51.49538,-0.19297,Entire home/apt,5,0,,,1,362,0,800.0
Beautiful house with 4 bedrooms,Merton,51.39519220568853,-0.1301194874562571,Entire home/apt,1,0,,,1,365,0,435.0
Baker Street Station is 2 minutes away.,Westminster,51.52162083864456,-0.1586094126105308,Entire home/apt,5,3,2024-06-21,1.03,1,80,3,543.0
Superb Knightsbridge House,Kensington and Chelsea,51.49514989999999,-0.15914,Entire home/apt,7,0,,,19,358,0,960.0
Luxury Spacious Flat with Communal Gardens Parking,Tower Hamlets,51.51809,-0.05003,Entire home/apt,1,57,2024-08-19,3.35,4,319,43,739.0
Borough Market Luxury 2-bed 2.5-bath Apartment,Southwark,51.50368,-0.09226,Entire home/apt,4,9,2024-08-22,0.5,6,141,7,453.0
Large Penthouse Central Mayfair with Patio,Westminster,51.5108621225984,-0.1468553021550178,Entire home/apt,2,60,2024-09-04,2.85,4,291,36,700.0
Large 3 Bed 3 Bath Terraced Flat in Central London,Westminster,51.51822,-0.17589,Entire home/apt,1,12,2024-08-20,0.56,4,11,10,707.0
The Open Page by Veeve,Haringey,51.586,-0.128,Entire home/apt,7,0,,,404,203,0,600.0
"Stay, Meet or Party in Private Boathouse in London",Tower Hamlets,51.50628447164734,-0.0739832089843672,Entire home/apt,4,0,,,16,341,0,2500.0
"Premium 3 bedroom, 3 bathroom",Camden,51.54197371824155,-0.1421474421890289,Entire home/apt,14,2,2024-04-28,0.1,16,67,1,466.0
Suite Heaven Penthouse,Bromley,51.40974792421576,-0.0301413238048553,Entire home/apt,15,0,,,1,358,0,900.0
Central North London - Modern Luxury Apartment,Camden,51.54974499999999,-0.1664047,Entire home/apt,4,3,2024-06-29,0.15,1,20,1,420.0
Gorgeous cosy 5 bed house! KT1,Kingston upon Thames,51.40398,-0.30496,Entire home/apt,3,3,2023-08-19,0.18,1,327,0,450.0
Our Beautiful Apartment in Central London,Westminster,51.51997,-0.16908,Entire home/apt,1,28,2024-08-18,1.3,2,86,11,707.0
"10 bedroom house EastHam,5.5 baths, Sleep 19",Newham,51.52114,0.0557,Entire home/apt,3,0,,,77,360,0,590.0
Newly Renovated 3BR apartment In Fitzrovia,Westminster,51.51956,-0.14065,Entire home/apt,3,0,,,11,79,0,440.0
Sing along Hamilton 2 bedrooms,Westminster,51.53163,-0.18355,Entire home/apt,4,0,,,8,365,0,750.0
5 Double Bed Town House South Kensington,Kensington and Chelsea,51.49296549796197,-0.1807663730163478,Entire home/apt,3,10,2024-04-04,0.48,1,355,2,1060.0
Modern 3 Bed flat in Marylebone,Westminster,51.52501,-0.16134,Entire home/apt,5,21,2024-08-07,1.02,1,207,14,513.0
Magic Moments - Borough -  by Frankie Says,Southwark,51.50615,-0.09395,Entire home/apt,5,10,2024-05-16,0.5,37,327,3,592.0
Luxury home with aircon & garden near Notting Hill,Westminster,51.52577,-0.19806,Entire home/apt,3,25,2024-07-16,1.21,1,317,12,677.0
Thames riverside apartment in London,Hammersmith and Fulham,51.46749,-0.18707,Entire home/apt,1,0,,,226,364,0,681.0
Modern 2 bedroom flat,Lambeth,51.47957,-0.12908,Entire home/apt,4,20,2024-08-25,0.96,7,156,14,645.0
* Architectural Triplex House in Heart of Chelsea*,Kensington and Chelsea,51.48842,-0.16343,Entire home/apt,3,10,2024-08-21,0.64,9,14,6,505.0
Luxurious 2-Bed Flat in Central London,Southwark,51.50057,-0.10304,Entire home/apt,4,0,,,2,21,0,435.0
Secret South Kensington,Kensington and Chelsea,51.49418,-0.1781,Entire home/apt,1,2,2023-01-02,0.09,404,160,0,733.0
Tranquil 2-bed Fulham Garden Apartment,Hammersmith and Fulham,51.47721,-0.20764,Entire home/apt,2,12,2024-07-21,0.7,1,364,4,443.0
The Dream Factory - Borough -  by Frankie Says,Southwark,51.50655,-0.09363,Entire home/apt,5,7,2024-06-23,0.34,37,324,4,870.0
"Premium 3 Bedroom, 3 Bathroom",Camden,51.54114,-0.143,Entire home/apt,14,5,2024-08-05,0.24,16,83,2,470.0
New 2Bed/ 2Bath Central London-3 min to Oxford st,Westminster,51.51568,-0.16511,Entire home/apt,1,2,2023-07-09,0.14,3,365,0,450.0
Luxury Battersea 3 bed house,Wandsworth,51.4786381,-0.1674243,Entire home/apt,5,5,2024-01-02,0.24,1,87,1,450.0
Bright & Spacious 3 Bed 2 Bath Central London home,City of London,51.51743,-0.11276,Entire home/apt,3,7,2024-06-03,0.45,5,66,4,506.0
NEW 2 bedroom Riverview Central London US Embassy,Wandsworth,51.4825033,-0.1367693,Entire home/apt,2,66,2024-09-03,3.53,17,113,56,458.0
Beautiful 3-bed Notting Hill,Kensington and Chelsea,51.51402,-0.20999,Entire home/apt,5,0,,,2,90,0,475.0
Stunning Victoria 5-bed 4-bath,Westminster,51.49145,-0.14268,Entire home/apt,2,4,2024-01-10,0.39,2,54,4,1314.0
Haus of Mason,Camden,51.51525,-0.1217,Entire home/apt,2,25,2024-08-25,1.37,1,312,8,511.0
Stylish & Spacious 1BD Flat - Maida Vale,Brent,51.53081,-0.19515,Entire home/apt,2,5,2023-05-06,0.25,19,365,0,5000.0
"Chelsea, London - Deluxe Three-Bedroom Apartment",Kensington and Chelsea,51.48636,-0.18465,Entire home/apt,5,0,,,46,0,0,548.0
Spacious london skyline property,Lewisham,51.44636,-0.03895,Entire home/apt,7,0,,,6,90,0,850.0
Wimbledon Garden Flat 2 bed 2 bath w private gym,Merton,51.41308,-0.24178,Entire home/apt,6,0,,,1,365,0,600.0
Morden Decor 3 Bedroom House,Hackney,51.55787399328356,-0.0526791331878818,Entire home/apt,7,0,,,11,269,0,500.0
Sonder The Bard | Two-Bedroom Apartment w/ Balcony,Camden,51.51914,-0.1349,Entire home/apt,1,4,2024-06-02,0.19,84,167,1,754.0
Wonderful Stay Apartment,Islington,51.51921,-0.10525,Entire home/apt,2,5,2023-05-20,0.24,16,79,0,800.0
Superb Apartment Thames River,City of London,51.51177,-0.1033,Entire home/apt,2,6,2023-07-16,0.31,16,139,0,800.0
The Farringdon 1,Islington,51.52569406602642,-0.1112449541687965,Entire home/apt,2,18,2024-08-27,0.87,66,196,15,550.0
One bedroom flat in Marylebone,Westminster,51.51624,-0.15796,Entire home/apt,4,0,,,7,248,0,500.0
Fabulous Floral Flat,Camden,51.51338,-0.12618,Entire home/apt,2,36,2024-08-25,2.07,1,31,15,559.0
Modern 4 bedroom house in Islington,Islington,51.56166,-0.10207,Entire home/apt,4,3,2023-12-27,0.22,4,60,1,446.0
GaRDEN Flat in Posh MEWS,Westminster,51.52018013444546,-0.1456826576721215,Entire home/apt,3,30,2024-04-05,1.45,7,120,10,514.0
The Montagu – 2 Bedroom with Terrace in Kensington,Kensington and Chelsea,51.49640159088212,-0.1942872932540984,Entire home/apt,4,3,2024-08-04,0.21,72,337,2,491.0
Luxury Penthouse with Free Chauffeur,Greenwich,51.49386857704579,0.0675416847833623,Entire home/apt,3,0,,,1,91,0,1000.0
Charming and unique family home off a mews,Southwark,51.4662780050502,-0.0835919171760429,Entire home/apt,2,9,2024-07-27,0.45,1,356,4,500.0
stunning 3 bed 3 bath & balcony,Westminster,51.52137557494253,-0.1532104043989617,Entire home/apt,3,0,,,8,364,0,788.0
Resolve Apartment,Enfield,51.6614294,-0.1014054,Entire home/apt,10,0,,,1,90,0,4143.0
"Hyde Park Apartment, London",Westminster,51.5131508,-0.1866144,Entire home/apt,1,0,,,1,365,0,517.0
Two Bedroom Apartment 841 (650 SQ FT),Kensington and Chelsea,51.49104683550164,-0.1659465529139086,Entire home/apt,3,0,,,64,255,0,586.0
Contemporary Victorian House | Hackney's Finest,Hackney,51.5483083206334,-0.0405979437768143,Entire home/apt,5,1,2023-03-30,0.06,1,164,0,464.0
"Premium 3 bed, 3 bath",Camden,51.54306559719146,-0.1429006881020208,Entire home/apt,14,10,2024-07-31,0.49,16,82,9,466.0
*Modern Apartment near Harrods*,Kensington and Chelsea,51.490974089196,-0.1822754700545865,Entire home/apt,2,29,2023-10-22,1.44,1,365,2,550.0
Large luxury 1-bedroom Mayfair apartment,Westminster,51.5129297,-0.1498252,Entire home/apt,3,3,2023-12-11,0.15,4,363,1,800.0
Magnificent house near Harrods,Kensington and Chelsea,51.49852670884084,-0.1604460552334785,Entire home/apt,30,0,,,11,179,0,2945.0
Urban Oasis North London,Haringey,51.60496802198611,-0.1170048690570226,Entire home/apt,1,14,2024-07-07,0.72,1,363,7,600.0
Stunning spacious 6 BR house next to Regents Park,Westminster,51.52322831144123,-0.1508885915131968,Entire home/apt,5,1,2024-03-17,0.17,4,212,1,1599.0
Attractive Barnes Village house,Richmond upon Thames,51.47538509054847,-0.2411472555341544,Entire home/apt,7,2,2024-08-15,1.76,1,15,2,500.0
Beautiful Stylish quiet family home,Lambeth,51.46617,-0.1440609,Entire home/apt,2,12,2024-08-12,0.81,1,134,9,750.0
Spacious 4 bedroom House with a Private Garden,Hammersmith and Fulham,51.51937448383976,-0.2475877608520482,Entire home/apt,2,6,2023-02-25,0.3,1,180,0,414.0
GuestReady - Family homestead near Chiswick Park,Hounslow,51.49367514005144,-0.2682244283960455,Entire home/apt,1,12,2024-08-11,0.66,1,6,9,495.0
Kensington SW7 - beautiful mews home for 9,Kensington and Chelsea,51.49733927866875,-0.1891376450657844,Entire home/apt,3,85,2024-09-01,4.29,12,301,62,584.0
The Railway House,Kensington and Chelsea,51.512801838393024,-0.2183444391306451,Entire home/apt,3,0,,,1,365,0,450.0
Pimlico Road Chelsea 3 bedroom apartment,Westminster,51.49054109999999,-0.1524846,Entire home/apt,7,12,2024-06-30,0.72,125,88,9,535.0
Pimlico Road Chelsea 3 bedroom serviced apartment,Westminster,51.4904257,-0.1530654,Entire home/apt,7,0,,,125,2,0,433.0
Kensington Gardens Duplex 4 Bedroom Flat,Kensington and Chelsea,51.50271917453368,-0.1852408893817961,Entire home/apt,5,11,2024-07-18,0.64,8,297,5,731.0
Chelsea Luxury 3 Bed Apartment,Wandsworth,51.481545908328165,-0.1471504626085344,Entire home/apt,7,3,2023-08-27,0.18,7,180,0,500.0
Beautiful 2 Bed Apartment,Westminster,51.5152751796026,-0.1494120086964336,Entire home/apt,14,0,,,45,123,0,450.0
Temporary accommodation,Merton,51.41256740758872,-0.1472170903638657,Private room,1,0,,,1,364,0,5000.0
Beautiful Belsize Park Two Bed Garden Flat,Camden,51.54552348966794,-0.1735631872916764,Entire home/apt,1,1,2023-01-12,0.05,4,282,0,2414.0
Stylish Townhouse with Terrace in Notting Hill,Kensington and Chelsea,51.5204678735597,-0.208909193463676,Entire home/apt,3,2,2023-09-23,0.15,6,34,1,900.0
Spacious 3BD House with Garden - Hammersmith,Hammersmith and Fulham,51.49547558291422,-0.234605930048165,Entire home/apt,2,4,2023-07-25,0.22,19,365,0,5000.0
Stunning town house,Hammersmith and Fulham,51.50701988776624,-0.2275025123268919,Entire home/apt,3,22,2024-07-23,1.11,5,69,11,438.0
"Prime Chelsea ,minimum 2 weeks.",Westminster,51.4877932082853,-0.15021912753582,Entire home/apt,1,0,,,8,365,0,650.0
Arundel Gardens by onefinestay,Kensington and Chelsea,51.51233,-0.20632,Entire home/apt,5,1,2024-06-18,0.37,210,58,1,759.0
Winchester Street III by onefinestay,Westminster,51.48976382113703,-0.1445356917774424,Entire home/apt,5,7,2024-08-18,0.42,210,220,4,1277.0
Alba Place III by onefinestay,Kensington and Chelsea,51.51820504322541,-0.2058715833743268,Entire home/apt,5,0,,,210,104,0,741.0
Family friendly Westminster Townhouse,Westminster,51.48684,-0.14285,Entire home/apt,2,21,2024-06-16,1.17,1,145,3,575.0
Stunning apartment in Marylebone Mews,Westminster,51.5182768,-0.1600711,Entire home/apt,1,22,2024-07-05,1.13,1,249,3,450.0
Stunning 4 Bedroom Edwardian Family Home,Richmond upon Thames,51.42490581935354,-0.3148963544761592,Entire home/apt,7,0,,,1,364,0,600.0
Kensington Gardens Two Bedroom Flat,Kensington and Chelsea,51.50112904514406,-0.1857798273036829,Entire home/apt,5,7,2024-08-13,0.49,8,331,6,455.0
Three bedroom apartment in Westminster,Westminster,51.49871034068883,-0.1400231112451786,Entire home/apt,3,1,2024-04-25,0.22,31,360,1,437.0
NEW luxury flat @ London Bridge,Southwark,51.49803636413406,-0.0849658064118312,Entire home/apt,3,0,,,1,87,0,500.0
Huge flat with rock star history,Islington,51.52162,-0.10311,Entire home/apt,2,1,2023-08-28,0.08,5,60,0,600.0
10 minutes from London Bridge!,Lewisham,51.4784224,-0.0312299,Entire home/apt,2,0,,,2,90,0,500.0
Covent Garden Penthouse - Large Terrace *Central*,Westminster,51.5113816,-0.1268867,Entire home/apt,2,69,2024-08-23,3.68,26,153,41,710.0
Amazing South Kensington Apartment 2 Bedrooms,Kensington and Chelsea,51.49242009632805,-0.1761095583939276,Entire home/apt,2,39,2024-08-16,1.99,22,17,12,462.0
Abbeville Ascendancy,Lambeth,51.45677731259129,-0.1342311461534496,Entire home/apt,4,0,,,404,20,0,1054.0
Beautiful 3 bedroom in belgravia,Westminster,51.48921506128327,-0.1499517612593436,Entire home/apt,3,1,2023-08-13,0.08,2,334,0,520.0
Two Bedroom Apartment 747 (708 SQ FT),Kensington and Chelsea,51.49260485161481,-0.1663427820089188,Entire home/apt,3,1,2023-07-13,0.07,64,189,0,580.0
Three Bedroom Flat in Belgravia,Westminster,51.49337780265648,-0.1555038380056528,Entire home/apt,3,15,2023-11-23,0.79,4,166,1,425.0
Modern 3B Flat London City,Westminster,51.49319262774721,-0.132453238836981,Entire home/apt,28,1,2023-06-14,0.07,1,365,0,580.0
Spacious 4 Bedroom House near Chelsea.,Hammersmith and Fulham,51.47889868941431,-0.1911725716685269,Entire home/apt,1,2,2023-07-09,0.14,1,364,0,600.0
Pimlico Road Chelsea 2 bedroom apartment,Westminster,51.4904296,-0.1530229,Entire home/apt,7,1,2024-06-02,0.31,125,121,1,416.0
".Terrace Relaxing Flat, Covent Garden, 2 Bedrooms",Camden,51.51486492844396,-0.1223983957702734,Entire home/apt,4,18,2024-08-31,0.93,3,22,12,480.0
Heart of London City-Strand Luxury 2BD Flat,Westminster,51.511,-0.11248,Entire home/apt,3,6,2024-08-18,0.31,3,0,3,472.0
| Knightsbridge | Sumptuous Flat | Hyde Park |,Westminster,51.49899026137108,-0.1716495653987714,Entire home/apt,2,20,2024-08-24,1.1,27,166,13,674.0
Bright & Beautiful House. Great for families!,Hammersmith and Fulham,51.47715222298209,-0.2217016132010382,Entire home/apt,7,3,2023-12-30,0.22,1,340,1,800.0
Mews House in heart of Notting Hill (pbm),Kensington and Chelsea,51.518895418554784,-0.2031306822565237,Entire home/apt,1,11,2024-04-22,0.65,8,0,4,609.0
"Victoria Dream, Superior 4-bed House, Curated Deco",Westminster,51.49270973889792,-0.1396096612558853,Entire home/apt,4,14,2024-08-22,0.79,5,127,8,826.0
Designer 3 bed Clerkenwell House,Islington,51.52840490502967,-0.1005037548463213,Entire home/apt,5,0,,,20,365,0,750.0
Cool apartment near shard,Southwark,51.501268655837,-0.082627086558496,Entire home/apt,4,3,2024-08-18,0.18,1,364,1,1300.0
Amazing 3bedrooms Townhouse. Perfect for families!,Westminster,51.52369780645826,-0.1664608697197264,Entire home/apt,3,9,2024-09-01,0.51,41,197,8,466.0
Flat near Central London,Lewisham,51.458832809528445,0.00368133187294,Private room,1,0,,,2,364,0,500.0
Beautiful Knightsbridge Whole Appartment,Kensington and Chelsea,51.49709737588349,-0.1566903473219682,Entire home/apt,5,0,,,1,365,0,480.0
Modern 2 bed on High street ken,Kensington and Chelsea,51.49738,-0.20411,Entire home/apt,60,0,,,2,365,0,450.0
Contemporary Four Bedroom House in Islington,Islington,51.539364,-0.0917012,Entire home/apt,2,7,2024-08-11,0.36,37,133,3,488.0
Luxury apartment in Mayfair,Westminster,51.50850174672828,-0.1453400217709175,Entire home/apt,30,0,,,11,362,0,3540.0
Homely and spacious apartment,Tower Hamlets,51.50385626148545,-0.0587891582250444,Entire home/apt,100,3,2023-07-22,0.19,3,363,0,500.0
Fabulous 2 bed flat moments from Sloane Square,Kensington and Chelsea,51.49026,-0.15626,Entire home/apt,4,23,2024-08-18,1.25,3,112,15,493.0
"Luxurious, sunny flat with woodland views",Hackney,51.56176891490836,-0.0788152486390392,Entire home/apt,3,16,2024-08-22,0.9,1,355,5,450.0
Selfridges classy 2 bed suite,Westminster,51.51799372722592,-0.1513189175919112,Entire home/apt,14,0,,,43,165,0,529.0
"The Westminster Residences - Luxury 3-Bed, 3-Bath",Westminster,51.49783796349448,-0.1284590266126343,Entire home/apt,5,15,2024-08-07,0.83,125,169,11,609.0
The Westminster Residences - Luxury 3-Bed 3 Bath,Westminster,51.49697,-0.12898,Entire home/apt,5,8,2024-08-18,0.47,125,167,7,680.0
Royal Albert Hall retreat,Westminster,51.50146616897894,-0.1809873453883932,Entire home/apt,1,2,2023-07-12,0.12,19,92,0,426.0
The Westminster Residences - Luxury 2 Bedroom,Westminster,51.495602248740376,-0.1276588653284259,Entire home/apt,5,8,2024-07-13,0.56,125,122,7,464.0
2 Bed Mayfair Loft Apartment!,Westminster,51.50925,-0.15193,Entire home/apt,2,73,2024-08-18,3.92,27,275,43,506.0
Unique Light-Filled Three-Bedroom Mews House,Islington,51.544481837328014,-0.102949015732151,Entire home/apt,3,15,2024-08-21,0.87,1,190,12,625.0
Penthouse The Westminster Residences - Luxury 2Bed,Westminster,51.49561051638005,-0.1285869308103606,Entire home/apt,5,1,2024-05-25,0.28,125,187,1,518.0
The Corner House - AC & Roof Terrace,Kensington and Chelsea,51.5128390303547,-0.2045726352056975,Entire home/apt,4,35,2024-08-20,1.89,15,110,18,450.0
